700  [main] ERROR wdsr.exercise4.Main [] - Broker: localhost - Client: RAFZZ already connected from tcp://127.0.0.1:63761
774817 [main] INFO  wdsr.exercise4.Main [] - message 'test_0'
774818 [main] INFO  wdsr.exercise4.Main [] - message 'test_1'
774818 [main] INFO  wdsr.exercise4.Main [] - message 'test_2'
774818 [main] INFO  wdsr.exercise4.Main [] - message 'test_3'
774818 [main] INFO  wdsr.exercise4.Main [] - message 'test_4'
774819 [main] INFO  wdsr.exercise4.Main [] - message 'test_5'
774819 [main] INFO  wdsr.exercise4.Main [] - message 'test_6'
774819 [main] INFO  wdsr.exercise4.Main [] - message 'test_7'
774819 [main] INFO  wdsr.exercise4.Main [] - message 'test_8'
774819 [main] INFO  wdsr.exercise4.Main [] - message 'test_9'
774819 [main] INFO  wdsr.exercise4.Main [] - message 'test_10'
774820 [main] INFO  wdsr.exercise4.Main [] - message 'test_11'
774820 [main] INFO  wdsr.exercise4.Main [] - message 'test_12'
774820 [main] INFO  wdsr.exercise4.Main [] - message 'test_13'
774820 [main] INFO  wdsr.exercise4.Main [] - message 'test_14'
774820 [main] INFO  wdsr.exercise4.Main [] - message 'test_15'
774820 [main] INFO  wdsr.exercise4.Main [] - message 'test_16'
774820 [main] INFO  wdsr.exercise4.Main [] - message 'test_17'
774820 [main] INFO  wdsr.exercise4.Main [] - message 'test_18'
774821 [main] INFO  wdsr.exercise4.Main [] - message 'test_19'
774821 [main] INFO  wdsr.exercise4.Main [] - message 'test_20'
774821 [main] INFO  wdsr.exercise4.Main [] - message 'test_21'
774821 [main] INFO  wdsr.exercise4.Main [] - message 'test_22'
774821 [main] INFO  wdsr.exercise4.Main [] - message 'test_23'
774821 [main] INFO  wdsr.exercise4.Main [] - message 'test_24'
774821 [main] INFO  wdsr.exercise4.Main [] - message 'test_25'
774822 [main] INFO  wdsr.exercise4.Main [] - message 'test_26'
774822 [main] INFO  wdsr.exercise4.Main [] - message 'test_27'
774822 [main] INFO  wdsr.exercise4.Main [] - message 'test_28'
774823 [main] INFO  wdsr.exercise4.Main [] - message 'test_29'
774823 [main] INFO  wdsr.exercise4.Main [] - message 'test_30'
774823 [main] INFO  wdsr.exercise4.Main [] - message 'test_31'
774823 [main] INFO  wdsr.exercise4.Main [] - message 'test_32'
774824 [main] INFO  wdsr.exercise4.Main [] - message 'test_33'
774824 [main] INFO  wdsr.exercise4.Main [] - message 'test_34'
774824 [main] INFO  wdsr.exercise4.Main [] - message 'test_35'
774824 [main] INFO  wdsr.exercise4.Main [] - message 'test_36'
774824 [main] INFO  wdsr.exercise4.Main [] - message 'test_37'
774824 [main] INFO  wdsr.exercise4.Main [] - message 'test_38'
774824 [main] INFO  wdsr.exercise4.Main [] - message 'test_39'
774824 [main] INFO  wdsr.exercise4.Main [] - message 'test_40'
774824 [main] INFO  wdsr.exercise4.Main [] - message 'test_41'
774824 [main] INFO  wdsr.exercise4.Main [] - message 'test_42'
774825 [main] INFO  wdsr.exercise4.Main [] - message 'test_43'
774825 [main] INFO  wdsr.exercise4.Main [] - message 'test_44'
774825 [main] INFO  wdsr.exercise4.Main [] - message 'test_45'
774825 [main] INFO  wdsr.exercise4.Main [] - message 'test_46'
774825 [main] INFO  wdsr.exercise4.Main [] - message 'test_47'
774825 [main] INFO  wdsr.exercise4.Main [] - message 'test_48'
774825 [main] INFO  wdsr.exercise4.Main [] - message 'test_49'
774825 [main] INFO  wdsr.exercise4.Main [] - message 'test_50'
774825 [main] INFO  wdsr.exercise4.Main [] - message 'test_51'
774826 [main] INFO  wdsr.exercise4.Main [] - message 'test_52'
774826 [main] INFO  wdsr.exercise4.Main [] - message 'test_53'
774826 [main] INFO  wdsr.exercise4.Main [] - message 'test_54'
774826 [main] INFO  wdsr.exercise4.Main [] - message 'test_55'
774826 [main] INFO  wdsr.exercise4.Main [] - message 'test_56'
774826 [main] INFO  wdsr.exercise4.Main [] - message 'test_57'
774826 [main] INFO  wdsr.exercise4.Main [] - message 'test_58'
774826 [main] INFO  wdsr.exercise4.Main [] - message 'test_59'
774826 [main] INFO  wdsr.exercise4.Main [] - message 'test_60'
774826 [main] INFO  wdsr.exercise4.Main [] - message 'test_61'
774827 [main] INFO  wdsr.exercise4.Main [] - message 'test_62'
774827 [main] INFO  wdsr.exercise4.Main [] - message 'test_63'
774827 [main] INFO  wdsr.exercise4.Main [] - message 'test_64'
774827 [main] INFO  wdsr.exercise4.Main [] - message 'test_65'
774827 [main] INFO  wdsr.exercise4.Main [] - message 'test_66'
774827 [main] INFO  wdsr.exercise4.Main [] - message 'test_67'
774827 [main] INFO  wdsr.exercise4.Main [] - message 'test_68'
774827 [main] INFO  wdsr.exercise4.Main [] - message 'test_69'
774828 [main] INFO  wdsr.exercise4.Main [] - message 'test_70'
774828 [main] INFO  wdsr.exercise4.Main [] - message 'test_71'
774828 [main] INFO  wdsr.exercise4.Main [] - message 'test_72'
774828 [main] INFO  wdsr.exercise4.Main [] - message 'test_73'
774828 [main] INFO  wdsr.exercise4.Main [] - message 'test_74'
774828 [main] INFO  wdsr.exercise4.Main [] - message 'test_75'
774828 [main] INFO  wdsr.exercise4.Main [] - message 'test_76'
774828 [main] INFO  wdsr.exercise4.Main [] - message 'test_77'
774828 [main] INFO  wdsr.exercise4.Main [] - message 'test_78'
774828 [main] INFO  wdsr.exercise4.Main [] - message 'test_79'
774829 [main] INFO  wdsr.exercise4.Main [] - message 'test_80'
774829 [main] INFO  wdsr.exercise4.Main [] - message 'test_81'
774829 [main] INFO  wdsr.exercise4.Main [] - message 'test_82'
774829 [main] INFO  wdsr.exercise4.Main [] - message 'test_83'
774829 [main] INFO  wdsr.exercise4.Main [] - message 'test_84'
774829 [main] INFO  wdsr.exercise4.Main [] - message 'test_85'
774829 [main] INFO  wdsr.exercise4.Main [] - message 'test_86'
774829 [main] INFO  wdsr.exercise4.Main [] - message 'test_87'
774830 [main] INFO  wdsr.exercise4.Main [] - message 'test_88'
774830 [main] INFO  wdsr.exercise4.Main [] - message 'test_89'
774830 [main] INFO  wdsr.exercise4.Main [] - message 'test_90'
774830 [main] INFO  wdsr.exercise4.Main [] - message 'test_91'
774830 [main] INFO  wdsr.exercise4.Main [] - message 'test_92'
774830 [main] INFO  wdsr.exercise4.Main [] - message 'test_93'
774830 [main] INFO  wdsr.exercise4.Main [] - message 'test_94'
774830 [main] INFO  wdsr.exercise4.Main [] - message 'test_95'
774830 [main] INFO  wdsr.exercise4.Main [] - message 'test_96'
774830 [main] INFO  wdsr.exercise4.Main [] - message 'test_97'
774831 [main] INFO  wdsr.exercise4.Main [] - message 'test_98'
774831 [main] INFO  wdsr.exercise4.Main [] - message 'test_99'
774831 [main] INFO  wdsr.exercise4.Main [] - message 'test_100'
774831 [main] INFO  wdsr.exercise4.Main [] - message 'test_101'
774831 [main] INFO  wdsr.exercise4.Main [] - message 'test_102'
774831 [main] INFO  wdsr.exercise4.Main [] - message 'test_103'
774831 [main] INFO  wdsr.exercise4.Main [] - message 'test_104'
774831 [main] INFO  wdsr.exercise4.Main [] - message 'test_105'
774831 [main] INFO  wdsr.exercise4.Main [] - message 'test_106'
774831 [main] INFO  wdsr.exercise4.Main [] - message 'test_107'
774832 [main] INFO  wdsr.exercise4.Main [] - message 'test_108'
774832 [main] INFO  wdsr.exercise4.Main [] - message 'test_109'
774832 [main] INFO  wdsr.exercise4.Main [] - message 'test_110'
774832 [main] INFO  wdsr.exercise4.Main [] - message 'test_111'
774832 [main] INFO  wdsr.exercise4.Main [] - message 'test_112'
774832 [main] INFO  wdsr.exercise4.Main [] - message 'test_113'
774832 [main] INFO  wdsr.exercise4.Main [] - message 'test_114'
774832 [main] INFO  wdsr.exercise4.Main [] - message 'test_115'
774833 [main] INFO  wdsr.exercise4.Main [] - message 'test_116'
774833 [main] INFO  wdsr.exercise4.Main [] - message 'test_117'
774833 [main] INFO  wdsr.exercise4.Main [] - message 'test_118'
774833 [main] INFO  wdsr.exercise4.Main [] - message 'test_119'
774833 [main] INFO  wdsr.exercise4.Main [] - message 'test_120'
774833 [main] INFO  wdsr.exercise4.Main [] - message 'test_121'
774833 [main] INFO  wdsr.exercise4.Main [] - message 'test_122'
774833 [main] INFO  wdsr.exercise4.Main [] - message 'test_123'
774833 [main] INFO  wdsr.exercise4.Main [] - message 'test_124'
774833 [main] INFO  wdsr.exercise4.Main [] - message 'test_125'
774834 [main] INFO  wdsr.exercise4.Main [] - message 'test_126'
774834 [main] INFO  wdsr.exercise4.Main [] - message 'test_127'
774834 [main] INFO  wdsr.exercise4.Main [] - message 'test_128'
774834 [main] INFO  wdsr.exercise4.Main [] - message 'test_129'
774834 [main] INFO  wdsr.exercise4.Main [] - message 'test_130'
774834 [main] INFO  wdsr.exercise4.Main [] - message 'test_131'
774834 [main] INFO  wdsr.exercise4.Main [] - message 'test_132'
774834 [main] INFO  wdsr.exercise4.Main [] - message 'test_133'
774834 [main] INFO  wdsr.exercise4.Main [] - message 'test_134'
774834 [main] INFO  wdsr.exercise4.Main [] - message 'test_135'
774835 [main] INFO  wdsr.exercise4.Main [] - message 'test_136'
